epoch,train_loss,train_loss_sd,val_accuracy
0,0.6926572237695966,0.002952963679509349,0.5320921117099461
1,0.6878167144835942,0.006817341243973344,0.5683488486036257
2,0.6776399243445623,0.015334248991560846,0.5948064674179324
3,0.6623443743539235,0.0210428804851855,0.6163645271925526
4,0.6537133020067972,0.02449519911924329,0.6305732484076433
5,0.637792824752747,0.026747720085398892,0.643312101910828
6,0.6241259499201699,0.03437837831877953,0.6771190592846644
7,0.6046322139482649,0.03218723446096594,0.5903968642822146
8,0.589130267264351,0.03495501938510779,0.6536011758941696
9,0.5748623004035344,0.044646863895316684,0.6923076923076923
10,0.5559573887832581,0.04120766562568638,0.698187163155316
11,0.5479338372510577,0.0489167690779009,0.7143557079862812
12,0.5341438826114412,0.04857149761517101,0.7128858402743753
13,0.5167820903043898,0.04673083881756236,0.7305242528172464
14,0.5014354179775904,0.04534438394711794,0.7295443410093092
15,0.4919562704033322,0.04622449280692091,0.6320431161195492
16,0.48546922727236674,0.0557758658178148,0.7354238118569328
17,0.47429373813053916,0.05136353763085035,0.7476727094561489
18,0.4650626215669844,0.04870135443239127,0.7172954434100931
19,0.445480019327194,0.057630956343228616,0.759921607055365
20,0.43670575817426044,0.05154892499570456,0.7471827535521803
21,0.4337143273580642,0.05865992376789061,0.7359137677609016
22,0.41936293291667154,0.05095830913608244,0.7609015188633023
23,0.41077360558131387,0.05164458408735874,0.7280744732974033
24,0.39443594879574245,0.05384897506317672,0.7584517393434591
25,0.3812455835323485,0.05622598115778645,0.6962273395394415
26,0.3708755960540166,0.051273511234749304,0.7481626653601176
27,0.3553175131479899,0.05787095345804898,0.7540421362077413
28,0.3498521555983831,0.05073738110081114,0.7285644292013719
29,0.345522534752649,0.05361073635665692,0.7280744732974033
30,0.3321248841664148,0.0598598039452871,0.7525722684958354
31,0.3187319825566004,0.05500526706674402,0.7172954434100931
32,0.3159434480799569,0.05663567910537179,0.7574718275355218
33,0.30073488799352494,0.05219892219273981,0.7741303282704557
34,0.2791827910003208,0.045941675334810216,0.7711905928466438
35,0.2704946689662479,0.04807889328047334,0.7687408133268006
36,0.2598589954395143,0.05056235992258045,0.753062224399804
37,0.25695628046043334,0.05367268309851141,0.7775600195982362
38,0.24552619528202785,0.05483619703365142,0.772170504654581
39,0.23264335710850972,0.06571844485269279,0.759921607055365
40,0.22015614168984549,0.05140984023923701,0.7741303282704557
41,0.21108152871094052,0.05140708950105423,0.773640372366487
42,0.20935926018726259,0.0466329861367952,0.7457128858402744
43,0.20987624757819706,0.03920621164942463,0.7707006369426752
44,0.1995713540485927,0.04901819940822344,0.780499755022048
45,0.1802859805406086,0.045419055565881584,0.7824595786379226
46,0.16715521885762138,0.04525909784644451,0.7726604605585498
47,0.17503100089610568,0.03990670412426548,0.7756001959823616
48,0.16463683273584123,0.05060189241459072,0.7780499755022048
49,0.1560886806793629,0.04626475562625816,0.7800097991180793
50,0.14964183887082433,0.04811247871027146,0.772170504654581
51,0.14991393803604067,0.048370756963677465,0.7422831945124939
52,0.15598520766648036,0.043457053351331584,0.7609015188633023
53,0.1396020364666742,0.04366168748942861,0.780499755022048
54,0.13726978713557833,0.04505543970334242,0.7756001959823616
55,0.12077850186162525,0.044406632277982874,0.7702106810387065
56,0.14011431710114555,0.03552324246446097,0.781969622733954
57,0.13036440969223068,0.04273773693037608,0.7731504164625184
58,0.12148792817006035,0.04480675914994131,0.7824595786379226
59,0.10677806323482877,0.035459868643764506,0.7697207251347379
60,0.10502269599468463,0.035924111959849736,0.7775600195982362
61,0.09423244333574696,0.041026599791302146,0.7829495345418912
62,0.09638961797787084,0.035901184905135164,0.781969622733954
63,0.09823144209526834,0.036178536325517825,0.7741303282704557
64,0.10835963274751391,0.034442524830798696,0.7829495345418912
65,0.08514280821241084,0.036175621655880175,0.7800097991180793
66,0.09099375409266305,0.04131967209515786,0.7770700636942676
67,0.09008602117971769,0.03624702023211137,0.7785399314061734
68,0.10296695246287281,0.0478479176094401,0.7834394904458599
69,0.0878535792054165,0.03970483876494264,0.7746202841744243
70,0.08131993689116031,0.025981682805177625,0.7829495345418912
71,0.09901765420559853,0.04384933984490974,0.7878490935815776
72,0.06853553153101415,0.03320529909821397,0.7893189612934836
73,0.08116581013041829,0.03846489673015197,0.7868691817736404
74,0.06476056948304176,0.03413849227889995,0.7834394904458599
75,0.060899960350186105,0.027433286766643025,0.7790298873101421
76,0.07502355840471056,0.03258582443905749,0.7790298873101421
77,0.07271069415386706,0.03277669894461949,0.7760901518863302
78,0.07889039232026017,0.03780030787606633,0.7550220480156786
79,0.08509014267474413,0.03488614235740979,0.787359137677609
80,0.06396860326270735,0.03416160976439209,0.7863792258696717
81,0.06131988020968579,0.02873502556648598,0.787359137677609
82,0.06540579750897392,0.041889050451403224,0.7951984321411073
83,0.05677294045952814,0.023936462284062304,0.7902988731014209
84,0.05229859278049497,0.02636305227627255,0.792748652621264
85,0.061255385182679645,0.03446052493423781,0.7716805487506124
86,0.08273232748938932,0.03966886220180109,0.7839294463498285
87,0.04864494028013377,0.029303375578949485,0.7902988731014209
88,0.05472060295915793,0.028856338208050284,0.7839294463498285
89,0.06034047146224313,0.03387457472826165,0.7707006369426752
90,0.05346882140027389,0.031848727246914725,0.7726604605585498
91,0.05424497159759677,0.03236629662317619,0.7672709456148946
92,0.0743411181583291,0.0384390059888655,0.7785399314061734
93,0.05093206027670512,0.031240297970011845,0.7770700636942676
94,0.054360165925962586,0.030116311697546073,0.79421852033317
95,0.047841801141787856,0.026155875234660984,0.773640372366487
96,0.05101882894006041,0.025249383529587582,0.7878490935815776
97,0.04351145321769374,0.024672907424130277,0.7800097991180793
98,0.046885518371940604,0.02619820942869931,0.7849093581577657
99,0.043559523875869456,0.022860899593216744,0.7775600195982362
